what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1333083786366
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1333083786367
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1333083786368
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1333083786368
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1333083786369
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1333083786369
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1333083786370
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1333083786370
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1333083786371
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1333083786372
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1333083786372
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1333083786372
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1333083786373
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1333083786374
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1333083786374
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1333083786375
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1333083786375
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1333083786376
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1333083786376
os,sysinfo,,,"win32",1333083786378
arch,sysinfo,,,"x86",1333083786379
ws,sysinfo,,,"win32",1333083786379
locale,sysinfo,,,"en_US",1333083786379
processors,sysinfo,,,"2",1333083786379
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333083786379
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1333083786379
java.specification.name,sysinfo,,,"Java Platform API Specification",1333083786379
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333083786379
java.specification.version,sysinfo,,,"1.6",1333083786379
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333083786379
java.version,sysinfo,,,"1.6.0_23",1333083786379
java.vm.info,sysinfo,,,"mixed mode, sharing",1333083786379
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333083786379
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333083786379
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333083786379
